Date,High,Low,Open,Close,Volume
19-Apr-24,30.76,29.28,30.65,30.21,620.77K
12-Apr-24,30.7,29.23,29.32,30.45,804.79K
05-Apr-24,29.65,28.52,29.06,29.21,1.01M
28-Mar-24,29.76,28.81,29.25,28.88,787.04K
22-Mar-24,29.93,28.92,29.3,29.27,1.23M
15-Mar-24,30.74,28.48,30.44,29.2,1.92M
08-Mar-24,31.25,30,30.11,30.65,653.84K
01-Mar-24,30.42,29.99,30.26,30.12,620.60K
23-Feb-24,30.98,29.77,30.65,30.44,623.94K
16-Feb-24,31.28,30.24,30.7,31.09,448.47K
09-Feb-24,32.23,30.82,32.11,30.83,575.47K
02-Feb-24,33.45,32.3,33.18,32.37,681.60K
26-Jan-24,33.49,31.96,32.41,33.15,804.34K
19-Jan-24,33.32,32.16,32.83,32.42,802.22K
12-Jan-24,32.96,31.44,31.75,32.95,748.78K
05-Jan-24,32.06,31.25,31.29,31.67,343.18K
29-Dec-23,33.14,31.64,32.6,31.9,312.99K
22-Dec-23,33.19,32.24,32.72,32.59,907.24K
15-Dec-23,32.85,30.8,32.1,32.31,798.50K
08-Dec-23,32.25,30.95,31.91,32.08,658.56K
01-Dec-23,32.15,31.06,31.71,32.08,507.43K
24-Nov-23,32.22,31.32,31.64,31.71,480.61K
17-Nov-23,31.87,30.57,30.57,31.49,438.15K
10-Nov-23,30.94,29.97,30.65,30.54,600.64K
03-Nov-23,31.84,30.33,30.96,30.67,741.05K
27-Oct-23,31.01,29.74,30.12,30.85,1.27M
20-Oct-23,32.27,30.06,31.54,30.26,1.02M
13-Oct-23,32.25,31.11,31.8,31.21,483.74K
06-Oct-23,32.03,29.77,32.03,31.8,820.14K
29-Sep-23,33.33,31.67,33,32.15,1.45M
22-Sep-23,34.05,32.57,33.81,33.06,855.68K
15-Sep-23,34.18,31.3,31.33,33.88,776.74K
08-Sep-23,32.14,30.67,31.76,31.2,531.23K
01-Sep-23,31.95,30.22,30.32,31.89,532.49K
25-Aug-23,31.31,30.08,30.21,30.5,473.01K
18-Aug-23,30.32,29.56,29.96,30.09,734.66K
11-Aug-23,30.52,29.34,29.75,30.01,763.91K
04-Aug-23,31.95,29.24,31.45,30.15,751.00K
28-Jul-23,32.03,30.04,30.2,31.4,1.37M
21-Jul-23,31.54,30.01,30.54,30.05,1.47M
14-Jul-23,31.18,30.16,30.32,30.85,1.17M
07-Jul-23,31.38,30.16,30.89,30.41,649.28K
30-Jun-23,31.87,30.8,30.89,31.08,902.47K
23-Jun-23,32.62,30.6,32.02,30.81,873.21K
16-Jun-23,33.38,30.34,31.22,32.17,1.41M
09-Jun-23,31.88,30.44,31.41,31.46,1.08M
02-Jun-23,31.76,29.79,30.44,31.6,1.02M
26-May-23,30.67,29.62,30.37,30.56,793.50K
19-May-23,31.09,29.63,29.65,30.51,950.65K
12-May-23,30.35,28.4,29.2,29.7,940.03K
05-May-23,30.84,27.04,30.64,29.12,1.81M
28-Apr-23,31.62,30.38,30.81,30.55,1.52M
21-Apr-23,32.76,30.69,32.24,31.13,1.65M
14-Apr-23,32.77,31.05,31.42,32.24,2.04M
06-Apr-23,32.46,30.65,32.01,31.41,1.17M
31-Mar-23,32.3,30.77,30.91,32,909.46K
24-Mar-23,32.15,30.52,31.36,31.1,1.40M
17-Mar-23,32.47,30.82,31.51,31.44,3.15M
10-Mar-23,38.76,31.4,38.34,31.89,3.18M
03-Mar-23,38.55,35.42,35.74,38.44,1.46M
24-Feb-23,37.2,34.58,37.14,35.56,703.17K
17-Feb-23,37.62,35.52,36.35,37.09,807.21K
10-Feb-23,37.9,36.14,37.87,36.35,851.72K
03-Feb-23,39.59,37.95,38.34,38.39,1.31M
27-Jan-23,39.45,37.91,38.21,38.82,1.38M
20-Jan-23,38.75,37.16,38.32,38.16,1.89M
13-Jan-23,39.39,36.25,36.82,38.8,2.02M
06-Jan-23,36.91,33.35,33.89,36.82,2.68M
30-Dec-22,35.2,33.31,34.67,33.58,2.14M
23-Dec-22,34.65,32.75,33.51,34.28,1.18M
16-Dec-22,34.99,32.6,34.66,33.42,1.43M
09-Dec-22,35.15,33.17,34.04,34.66,1.17M
02-Dec-22,34.55,31.64,32.25,33.68,1.00M
25-Nov-22,32.48,30.89,31.4,32.21,942.11K
18-Nov-22,32.51,30.47,31.95,31.45,992.99K
11-Nov-22,32.14,29.46,30.37,31.85,1.10M
04-Nov-22,31.13,27.82,28.07,30.2,1.66M
28-Oct-22,30,28.02,29.07,28.18,1.46M
21-Oct-22,29.34,27.33,27.5,29.14,1.46M
14-Oct-22,28.13,26.66,27.57,27.11,1.50M
07-Oct-22,30.89,27.56,29.19,27.72,1.81M
28-Sep-22,30.3,27.97,29.4,28.42,979.60K
23-Sep-22,31.8,28.97,30.79,29.63,2.30M
